NTCIR12-MathWiki-1 1 Prime_zeta_function:28 1 1.0 RITUW-formula
NTCIR12-MathWiki-1 1 Quintic_function:37 2 0.153846 RITUW-formula
NTCIR12-MathWiki-1 1 Nth_root:12 3 0.117647 RITUW-formula
NTCIR12-MathWiki-1 1 Srinivasa_Ramanujan:8 4 0.0606061 RITUW-formula
NTCIR12-MathWiki-1 1 Pell_number:61 5 0.0571429 RITUW-formula
NTCIR12-MathWiki-1 1 Vienna_rectifier:5 6 0.0555556 RITUW-formula
NTCIR12-MathWiki-1 1 Trigamma_function:24 7 0.05 RITUW-formula
NTCIR12-MathWiki-1 1 Spiral_of_Theodorus:6 8 0.047619 RITUW-formula
NTCIR12-MathWiki-1 1 Golden_ratio:14 9 0.0444444 RITUW-formula
NTCIR12-MathWiki-1 1 Particular_values_of_Riemann_zeta_function:40 10 0.0277778 RITUW-formula
NTCIR12-MathWiki-1 1 Field_electron_emission:18 11 0.0266667 RITUW-formula
NTCIR12-MathWiki-1 1 Mathematical_coincidence:29 12 0.0227273 RITUW-formula
NTCIR12-MathWiki-1 1 Misiurewicz_point:25 13 0.021978 RITUW-formula
NTCIR12-MathWiki-1 1 Dedekind_eta_function:31 14 0.018018 RITUW-formula
NTCIR12-MathWiki-1 1 Duckworth–Lewis_method:2 15 0.0151515 RITUW-formula
NTCIR12-MathWiki-1 1 Mathematical_constants_and_functions:355 16 0.0123457 RITUW-formula
NTCIR12-MathWiki-1 1 Stieltjes_constants:34 17 0.0116959 RITUW-formula
NTCIR12-MathWiki-1 1 Riemann–Siegel_theta_function:12 18 0.0115607 RITUW-formula
NTCIR12-MathWiki-1 1 Power_series_solution_of_differential_equations:33 19 0.00677966 RITUW-formula
NTCIR12-MathWiki-1 1 Joint_entropy:11 20 0.00634921 RITUW-formula
NTCIR12-MathWiki-1 1 Heegner_number:48 21 0.00626959 RITUW-formula
NTCIR12-MathWiki-1 1 Madelung_constant:14 22 0.00507614 RITUW-formula
NTCIR12-MathWiki-1 1 Binomial_coefficient:197 23 0.00246305 RITUW-formula
