NTCIR11-Math-1 xxx 1205.2489_1_107 0
NTCIR11-Math-1 xxx math0410244_1_18 0
NTCIR11-Math-1 xxx math0702051_1_10 3
NTCIR11-Math-1 xxx 0803.2751_1_11 1
NTCIR11-Math-1 xxx 1207.0190_1_174 1
NTCIR11-Math-1 xxx math9909110_1_65 0
NTCIR11-Math-1 xxx hep-th0001054_1_66 1
NTCIR11-Math-1 xxx hep-th9703223_1_13 0
NTCIR11-Math-1 xxx 1311.1931_1_65 2
NTCIR11-Math-1 xxx math-ph0312017_1_45 0
NTCIR11-Math-1 xxx math0109124_1_453 2
NTCIR11-Math-1 xxx hep-th0508030_1_43 2
NTCIR11-Math-1 xxx 0705.0762_1_82 0
NTCIR11-Math-1 xxx math0002229_1_30 1
NTCIR11-Math-1 xxx math0002229_1_32 0
NTCIR11-Math-1 xxx math-ph0210049_1_4 2
NTCIR11-Math-1 xxx math0609643_1_111 0
NTCIR11-Math-1 xxx hep-th9911099_1_17 0
NTCIR11-Math-1 xxx 1307.8227_1_96 0
NTCIR11-Math-1 xxx hep-th9702138_1_2 2
NTCIR11-Math-1 xxx hep-th9702138_1_3 2
NTCIR11-Math-1 xxx dg-ga9703020_1_161 3
NTCIR11-Math-1 xxx math0106220_1_16 2
NTCIR11-Math-1 xxx hep-th0011253_1_13 3
NTCIR11-Math-1 xxx hep-th9910060_1_44 0
NTCIR11-Math-1 xxx 1305.2611_1_165 0
NTCIR11-Math-1 xxx math0108056_1_76 0
NTCIR11-Math-1 xxx math0506287_1_147 0
NTCIR11-Math-1 xxx nlin0701038_1_13 3
NTCIR11-Math-1 xxx 0709.2838_1_82 0
NTCIR11-Math-1 xxx math0110242_1_9 0
NTCIR11-Math-1 xxx 1208.6252_1_8 3
NTCIR11-Math-1 xxx quant-ph9909094_1_29 0
NTCIR11-Math-1 xxx math0601132_1_110 0
NTCIR11-Math-1 xxx math9912016_1_182 0
NTCIR11-Math-1 xxx 1211.2089_1_270 0
NTCIR11-Math-1 xxx 1304.6518_1_8 1
NTCIR11-Math-1 xxx math0512368_1_53 2
NTCIR11-Math-1 xxx 1301.5560_1_128 0
NTCIR11-Math-1 xxx 1304.6518_1_7 1
NTCIR11-Math-1 xxx 1106.3769_1_124 0
NTCIR11-Math-1 xxx 0803.0289_1_99 1
NTCIR11-Math-1 xxx 1310.2919_1_55 4
NTCIR11-Math-1 xxx solv-int9606005_1_2 2
NTCIR11-Math-1 xxx alg-geom9704002_1_73 0
NTCIR11-Math-1 xxx hep-th0103181_1_1 2
NTCIR11-Math-1 xxx solv-int9606005_1_4 3
NTCIR11-Math-1 xxx math0408382_1_68 3
NTCIR11-Math-1 xxx dg-ga9601010_1_19 3
NTCIR11-Math-1 xxx math9911194_1_23 0
NTCIR11-Math-2 xxx hep-th9506173_1_3 0
NTCIR11-Math-2 xxx 0807.2966_1_30 1
NTCIR11-Math-2 xxx 1008.2547_1_80 0
NTCIR11-Math-2 xxx 1203.0653_1_100 0
NTCIR11-Math-2 xxx hep-th9909117_1_46 1
NTCIR11-Math-2 xxx math9912097_1_700 0
NTCIR11-Math-2 xxx 0811.4423_1_54 0
NTCIR11-Math-2 xxx math9911101_1_170 0
NTCIR11-Math-2 xxx math9911021_1_7 0
NTCIR11-Math-2 xxx math9909077_1_95 0
NTCIR11-Math-2 xxx 0812.4607_1_27 0
NTCIR11-Math-2 xxx math0602424_1_117 1
NTCIR11-Math-2 xxx math0607674_1_135 1
NTCIR11-Math-2 xxx 1107.0980_1_47 0
NTCIR11-Math-2 xxx 0805.1240_1_151 1
NTCIR11-Math-2 xxx math9909070_1_63 0
NTCIR11-Math-2 xxx hep-th9908165_1_26 0
NTCIR11-Math-2 xxx 1108.2309_1_34 0
NTCIR11-Math-2 xxx 1109.4615_1_74 0
NTCIR11-Math-2 xxx 1005.1447_1_14 1
NTCIR11-Math-2 xxx 1010.5460_1_28 4
NTCIR11-Math-2 xxx hep-th9912157_1_94 0
NTCIR11-Math-2 xxx 1204.3922_1_109 1
NTCIR11-Math-2 xxx math0101096_1_1 0
NTCIR11-Math-2 xxx 1209.5378_1_11 0
NTCIR11-Math-2 xxx dg-ga9609011_1_360 1
NTCIR11-Math-2 xxx math0009070_1_42 1
NTCIR11-Math-2 xxx math0010171_1_163 1
NTCIR11-Math-2 xxx 1011.3559_1_82 0
NTCIR11-Math-2 xxx 1306.2774_1_249 1
NTCIR11-Math-2 xxx math0412269_1_34 1
NTCIR11-Math-2 xxx 1204.2325_1_45 0
NTCIR11-Math-2 xxx math0009069_1_36 0
NTCIR11-Math-2 xxx math0601574_1_28 1
NTCIR11-Math-2 xxx math9912097_1_34 0
NTCIR11-Math-2 xxx math0009069_1_38 0
NTCIR11-Math-2 xxx hep-th9911107_1_51 0
NTCIR11-Math-2 xxx 1106.1534_1_3 1
NTCIR11-Math-2 xxx 1304.3932_1_52 0
NTCIR11-Math-2 xxx hep-th9912164_1_228 0
NTCIR11-Math-2 xxx 1209.5378_1_6 0
NTCIR11-Math-2 xxx alg-geom9703007_1_58 1
NTCIR11-Math-2 xxx math-ph0209066_1_7 1
NTCIR11-Math-2 xxx math0009070_1_35 0
NTCIR11-Math-2 xxx 1105.3153_1_20 0
NTCIR11-Math-2 xxx 1310.6778_1_22 0
NTCIR11-Math-2 xxx hep-ph0009173_1_19 0
NTCIR11-Math-2 xxx 1010.5460_1_31 4
NTCIR11-Math-2 xxx 0904.2475_1_96 2
NTCIR11-Math-2 xxx 1105.3153_1_1 1
NTCIR11-Math-3 xxx hep-th9909133_1_36 0
NTCIR11-Math-3 xxx 0905.4141_1_48 0
NTCIR11-Math-3 xxx 1211.3343_1_8 1
NTCIR11-Math-3 xxx hep-th0606256_1_46 0
NTCIR11-Math-3 xxx 1308.5612_1_22 0
NTCIR11-Math-3 xxx 1312.6380_1_45 0
NTCIR11-Math-3 xxx math0509332_1_20 0
NTCIR11-Math-3 xxx 1303.5390_1_348 2
NTCIR11-Math-3 xxx math0605372_1_98 0
NTCIR11-Math-3 xxx hep-th0503202_1_8 0
NTCIR11-Math-3 xxx 1002.3430_1_204 0
NTCIR11-Math-3 xxx hep-th9910211_1_13 0
NTCIR11-Math-3 xxx 1207.0190_1_98 2
NTCIR11-Math-3 xxx 1006.0173_1_39 1
NTCIR11-Math-3 xxx alg-geom9705019_1_92 0
NTCIR11-Math-3 xxx 1002.1744_1_252 0
NTCIR11-Math-3 xxx 1002.1744_1_256 0
NTCIR11-Math-3 xxx hep-th9205074_1_161 2
NTCIR11-Math-3 xxx 1111.4306_1_63 0
NTCIR11-Math-3 xxx hep-th9910163_1_65 0
NTCIR11-Math-3 xxx 1108.2598_1_228 0
NTCIR11-Math-3 xxx hep-th9910163_1_55 1
NTCIR11-Math-3 xxx 1002.1744_1_230 0
NTCIR11-Math-3 xxx 1002.1744_1_238 0
NTCIR11-Math-3 xxx 1302.3737_1_68 0
NTCIR11-Math-3 xxx 1210.4499_1_83 0
NTCIR11-Math-3 xxx 0907.5594_1_97 0
NTCIR11-Math-3 xxx 1205.1789_1_10 0
NTCIR11-Math-3 xxx 1011.0010_1_8 2
NTCIR11-Math-3 xxx hep-th0503202_1_14 2
NTCIR11-Math-3 xxx math9904096_1_58 3
NTCIR11-Math-3 xxx math9909041_1_78 0
NTCIR11-Math-3 xxx math0703199_1_9 1
NTCIR11-Math-3 xxx cond-mat0207035_1_5 0
NTCIR11-Math-3 xxx 1108.2598_1_125 0
NTCIR11-Math-3 xxx hep-th0503202_1_15 0
NTCIR11-Math-3 xxx 1207.2872_1_175 0
NTCIR11-Math-3 xxx 1111.3920_1_131 0
NTCIR11-Math-3 xxx 1002.3430_1_292 0
NTCIR11-Math-3 xxx hep-th0503202_1_19 0
NTCIR11-Math-3 xxx 0810.4889_1_71 0
NTCIR11-Math-3 xxx 1206.3991_1_5 1
NTCIR11-Math-3 xxx cs0702129_1_23 0
NTCIR11-Math-3 xxx math0612673_1_24 0
NTCIR11-Math-3 xxx 1202.3186_1_65 0
NTCIR11-Math-3 xxx 0907.2939_1_46 1
NTCIR11-Math-3 xxx 0710.1596_1_120 0
NTCIR11-Math-3 xxx 0710.1812_1_25 0
NTCIR11-Math-3 xxx math9604208_1_84 0
NTCIR11-Math-3 xxx math9211215_1_129 0
NTCIR11-Math-4 xxx hep-th9411121_1_20 2
NTCIR11-Math-4 xxx hep-th0303119_1_112 2
NTCIR11-Math-4 xxx math-ph0412061_1_16 0
NTCIR11-Math-4 xxx 1010.6130_1_29 0
NTCIR11-Math-4 xxx hep-th9804086_1_4 0
